folio;folioArmstrong;presi;nnot;prensa;yr;mes;inicio;fin;duracion;ddpp;leg;bboo;id_legb;inst;min;ciuur4;ciuur3;ciuur2;trabemp;rangoemp;org;orgb;tc;externo;extgeo;reg1;reg2;reg3;com1;lat1;long1;com2;lat2;long2;com3;lat3;long3;dem1;dem2;dem3;dem4;dem5;tactica1;tactica2;tactica3;tactica4;tactica5;lockout;blanco1;blanco2;blanco3;poli;enfrentamiento;arresto;heridos;neg;dis_sin_enf;fuerza_pol;bomb;carros;n_det;muertos;n_muertos;aliado1;central1;aliado2;central2;aliado3;central3;autoridad;dhtp;acuerdo;cod;Comentarios;dem.antigua;
;45;1;;;1980;;;;5,0;5,0;1;;;1;;;;3;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105,0;;;;1,0;
;46;1;;;1980;;;;5,0;5,0;1;;;1;;;;6;;;;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160,0;;;;1,0;
;47;1;;;1980;;;;4,8;4,8;1;;;1;;;;3;;;;;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;340,8;;;;1,0;
;48;1;;;1980;;;;4,0;4,0;1;;;1;;;;6;;;;;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;388,0;;;;1,0;
;49;1;;;1980;;;;52,0;43,0;1;;;3;;;;2;;;;;8915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;383345,0;;;;1,0;
;50;1;;;1980;;;;17,0;15,0;1;;;1;;;;3;;;;;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3750,0;;;;1,0;
;51;1;;;1980;;;;19,0;17,0;1;;;1;;;;3;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;442,0;;;;1,0;
;52;1;;;1980;;;;4,8;4,8;1;;;1;;;;11;;;;;525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2520,0;;;;1,0;
;53;1;;;1980;;;;57,6;39,6;1;;;1;;;;10;;;;;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3009,6;;;;1,0;
;54;1;;;1980;;;;15,0;11,0;1;;;1;;;;3;;;;;392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4312,0;;;;1,0;
;55;1;;;1980;;;;29,0;23,0;1;;;1;;;;3;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;874,0;;;;1,0;
;56;1;;;1980;;;;59,0;45,0;1;;;1;;;;3;;;;;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3330,0;;;;1,0;
;57;1;;;1980;;;;8,0;5,0;1;;;1;;;;7;;;;;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;415,0;;;;1,0;
;58;1;;;1980;;;;11,0;7,0;1;;;1;;;;7;;;;;1454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10178,0;;;;1,0;
;59;1;;;1980;;;;17,0;13,0;1;;;1;;;;3;;;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;585,0;;;;1,0;
;60;1;;;1980;;;;54,0;42,0;1;;;1;;;;6;;;;;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2352,0;;;;1,0;
;61;1;;;1980;;;;68,4;42,0;1;;;1;;;;3;;;;;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3654,0;;;;1,0;
;62;1;;;1980;;;;3,6;3,6;1;;;1;;;;3;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,0;;;;1,0;
;63;1;;;1980;;;;42,0;27,6;1;;;1;;;;3;;;;;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1518,0;;;;1,0;
;64;1;;;1980;;;;69,6;49,2;1;;;1;;;;3;;;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2214,0;;;;1,0;
;65;1;;;1980;;;;33,6;22,8;1;;;1;;;;3;;;;;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1573,2;;;;1,0;
;66;1;;;1980;;;;33,6;22,8;1;;;1;;;;3;;;;;393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8960,4;;;;1,0;
;67;1;;;1980;;;;30,0;25,0;1;;;1;;;;2;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;575,0;;;;1,0;
;68;1;;;1980;;;;23,0;20,0;1;;;1;;;;2;;;;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700,0;;;;1,0;
;69;1;;;1980;;;;9,6;7,2;1;;;1;;;;3;;;;;252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1814,4;;;;1,0;
;70;1;;;1980;;;;3,6;3,6;1;;;1;;;;3;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54,0;;;;1,0;
;71;1;;;1980;;;;1,0;1,0;1;;;1;;;;11;;;;;524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;524,0;;;;1,0;
;72;1;;;1980;;;;26,0;18,0;1;;;1;;;;3;;;;;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1926,0;;;;1,0;
;73;1;;;1980;;;;49,0;41,0;1;;;1;;;;6;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1271,0;;;;1,0;
;74;1;;;1980;;;;13,2;8,4;1;;;1;;;;3;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;806,4;;;;1,0;
;75;1;;;1980;;;;16,8;12,0;1;;;1;;;;3;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;576,0;;;;1,0;
;76;1;;;1980;;;;21,0;18,0;1;;;1;;;;3;;;;;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2286,0;;;;1,0;
;77;1;;;1980;;;;21,0;18,0;1;;;1;;;;3;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1260,0;;;;1,0;
;78;1;;;1980;;;;58,0;49,0;1;;;1;;;;3;;;;;1478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72422,0;;;;1,0;
;79;1;;;1980;;;;1,0;1,0;1;;;1;;;;6;;;;;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72,0;;;;1,0;
;80;1;;;1980;;;;7,0;6,0;1;;;1;;;;3;;;;;186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1116,0;;;;1,0;
;81;1;;;1980;;;;8,0;7,0;1;;;1;;;;3;;;;;278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1946,0;;;;1,0;
;82;1;;;1980;;;;9,0;8,0;1;;;1;;;;3;;;;;129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1032,0;;;;1,0;
;83;1;;;1980;;;;12,0;9,6;1;;;1;;;;3;;;;;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;643,2;;;;1,0;
;84;1;;;1980;;;;13,0;11,0;1;;;1;;;;2;;;;;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;781,0;;;;1,0;
;85;1;;;1980;;;;2,0;2,0;1;;;1;;;;1;;;;;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,0;;;;1,0;
;86;1;;;1980;;;;2,0;2,0;1;;;1;;;;1;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52,0;;;;1,0;
;87;1;;;1980;;;;14,0;12,0;1;;;1;;;;6;;;;;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;408,0;;;;1,0;
;88;1;;;1980;;;;8,4;6,0;1;;;1;;;;8;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66,0;;;;1,0;
;89;1;;;1980;;;;72,0;50,4;1;;;1;;;;3;;;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2368,8;;;;1,0;
